link,option
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59670,30354
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59670,30348
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59670,30296
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59674,30454
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59675,30525
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59675,30524
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59675,30517
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59675,30515
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59675,30513
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59675,30512
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59675,30482
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59675,30481
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59675,30480
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59680,30634
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59680,30633
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59680,30632
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59680,30629
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59680,30628
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59680,30578
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59680,30574
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683,30715
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683,30714
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683,30712
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683,30711
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683,30710
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683,30708
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683,30698
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683,30697
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683,30695
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683,30694
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683,30693
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683,30692
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683,30691
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683,30690
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683,30689
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683,30688
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59683,30673
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59686,30761
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59686,30756
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59686,30735
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59686,30734
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59686,30733
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59686,30732
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59686,30730
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59686,30721
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59693,30847
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59693,30813
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59693,30806
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59693,30799
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59693,30798
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59693,30797
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59701,30887
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59701,30875
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59701,30874
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59701,30873
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59701,30872
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59701,30871
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59701,30870
https://www.camara.leg.br/presenca-comissoes/votacao-portal?reuniao=59701,30869
